Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating,Years_on_Market
Call of Duty: Ghosts,X360,Shooter,Activision,3.230400000000001,1.2288000000000001,0.019200000000000002,0.43680000000000013,4.920000000000002,7.3,2.6,M,3.0
Just Dance 3,Wii,Misc,Ubisoft,4.760000000000001,2.488,0.0,0.8480000000000001,8.096,7.4,7.8,E10+,5.0
New Super Mario Bros. 2,3DS,Platform,Nintendo,2.3424000000000005,2.0096000000000003,1.5808000000000002,0.4032,6.336000000000001,7.8,7.2,E,4.0
Halo: Reach,X360,Shooter,Microsoft Game Studios,6.758400000000002,1.8720000000000003,0.07680000000000001,0.7584000000000003,9.465600000000002,9.1,7.9,M,6.0
Final Fantasy VII,PS,Role-Playing,Sony Computer Entertainment,9.150400000000001,7.508800000000002,9.971200000000001,2.9184,29.548800000000004,9.2,9.2,T,19.0
Halo 4,X360,Shooter,Microsoft Game Studios,4.256,1.4592,0.0256,0.4736,6.214400000000001,8.7,7.0,M,4.0
Gran Turismo 2,PS,Racing,Sony Computer Entertainment,10.553600000000001,9.302400000000002,4.596800000000001,1.3600000000000003,25.812800000000003,9.3,9.0,T,17.0
Just Dance 2,Wii,Misc,Ubisoft,5.5680000000000005,2.7360000000000007,0.009600000000000001,0.7488000000000002,9.0624,7.4,7.3,E10+,6.0
Call of Duty: Ghosts,PS3,Shooter,Activision,1.9680000000000002,1.7424000000000002,0.18240000000000006,0.6000000000000001,4.492800000000001,7.1,2.6,M,3.0
Call of Duty 4: Modern Warfare,X360,Shooter,Activision,8.5392,3.3984,0.18720000000000003,1.2960000000000003,13.406400000000001,9.4,8.4,M,9.0
Animal Crossing: New Leaf,3DS,Simulation,Nintendo,1.2992,1.5104,2.8096,0.24960000000000004,5.862400000000001,8.8,8.7,E,4.0
Mario Party DS,DS,Misc,Nintendo,6.336000000000001,2.6640000000000006,2.8512000000000004,0.9792000000000001,12.830400000000001,7.2,7.8,E,9.0
The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,4.04,2.232,0.08000000000000002,0.68,7.032,9.6,8.4,M,5.0
FIFA 16,PS4,Sports,Electronic Arts,0.17920000000000003,0.9792000000000002,0.009600000000000001,0.2048,1.3712000000000002,8.2,4.3,E,1.0
Halo 2,XB,Shooter,Microsoft Game Studios,13.094400000000002,2.937600000000001,0.09600000000000003,0.15360000000000001,16.300800000000002,9.5,8.2,M,12.0
Wii Party,Wii,Misc,Nintendo,1.6800000000000004,3.331200000000001,2.3904000000000005,0.6432000000000001,8.044800000000002,6.8,7.4,E,6.0
Mario Party 8,Wii,Misc,Nintendo,5.385600000000001,3.2256000000000005,2.2752000000000003,1.008,11.9088,6.2,6.3,E,9.0
FIFA Soccer 13,PS3,Action,Electronic Arts,0.6784000000000001,3.2064000000000004,0.08320000000000001,1.2608000000000001,5.2224,8.8,6.6,E,4.0
Final Fantasy X,PS2,Role-Playing,Sony Computer Entertainment,6.984000000000001,4.968,6.5520000000000005,0.792,19.320000000000004,9.2,8.7,T,15.0
The Sims 3,PC,Simulation,Electronic Arts,1.1088000000000002,7.190400000000001,0.0,0.672,8.971200000000001,8.6,7.6,T,7.0
Final Fantasy VIII,PS,Role-Playing,SquareSoft,6.2016,4.678400000000001,9.873600000000001,0.6256000000000002,21.379200000000004,9.0,8.6,T,17.0
Pokémon Platinum Version,DS,Role-Playing,Nintendo,3.5328,2.2016000000000004,3.4432000000000005,0.6912000000000001,9.8816,8.3,8.5,E,8.0
Grand Theft Auto: Liberty City Stories,PSP,Action,Take-Two Interactive,5.104,4.945600000000001,0.42240000000000005,3.0448000000000004,13.534400000000003,8.8,7.6,M,11.0
Call of Duty: Advanced Warfare,PS4,Shooter,Activision,0.8992000000000001,1.1136000000000001,0.044800000000000006,0.3936,2.4512,8.3,5.7,M,2.0
FIFA 17,PS4,Sports,Electronic Arts,0.0,0.0,0.0,0.0,0.0,8.5,5.0,E,0.0
Super Mario Galaxy 2,Wii,Platform,Nintendo,3.417600000000001,2.2560000000000007,0.9408000000000002,0.5952000000000001,7.209600000000001,9.7,9.1,E,6.0
Call of Duty: World at War,X360,Shooter,Activision,6.1568000000000005,2.4064,0.0,0.8832,9.4464,8.4,7.6,M,8.0
Battlefield 3,X360,Shooter,Electronic Arts,3.568,1.688,0.048,0.5519999999999999,5.856000000000001,8.4,7.4,M,5.0
Need for Speed Underground,PS2,Racing,Electronic Arts,6.8016000000000005,5.886400000000001,0.16640000000000002,2.1216000000000004,14.976000000000003,8.5,8.6,E,13.0
Just Dance,Wii,Misc,Ubisoft,3.8976000000000006,3.3488000000000007,0.0,0.8176,8.064000000000002,4.9,8.0,E10+,7.0
Battlefield 3,PS3,Shooter,Electronic Arts,2.2800000000000002,2.3120000000000003,0.27999999999999997,0.8640000000000001,5.736000000000001,8.5,7.5,M,5.0
Fallout 4,PS4,Role-Playing,Bethesda Softworks,0.40480000000000005,0.5232,0.038400000000000004,0.1808,1.1456000000000002,8.7,6.5,M,1.0
Tekken 3,PS,Fighting,Sony Computer Entertainment,9.4176,6.393600000000001,4.032,0.8351999999999999,20.620800000000003,9.6,9.1,T,18.0
The Legend of Zelda: Twilight Princess,Wii,Action,Nintendo,5.984000000000001,3.4240000000000004,0.96,1.088,11.440000000000001,9.5,9.0,T,10.0
Crash Bandicoot 3: Warped,PS,Platform,Sony Computer Entertainment,10.598400000000002,5.040000000000001,4.0896,0.8064000000000001,20.5344,9.1,8.9,E,18.0
Mario Kart 8,WiiU,Racing,Nintendo,1.008,0.6880000000000001,0.4096,0.1632,2.2688,8.8,9.1,E,2.0
Super Smash Bros. Melee,GC,Fighting,Nintendo,10.584000000000001,2.4960000000000004,3.3359999999999994,0.528,16.968000000000004,9.2,9.1,T,15.0
Need for Speed Underground 2,PS2,Racing,Electronic Arts,5.203200000000001,5.798400000000002,0.15360000000000001,2.0928000000000004,13.248000000000003,8.2,8.6,E,12.0
Medal of Honor: Frontline,PS2,Shooter,Electronic Arts,6.563200000000002,6.160000000000001,0.3808000000000001,2.2176000000000005,15.299200000000003,8.8,8.5,T,14.0
Just Dance 4,Wii,Misc,Ubisoft,2.5920000000000005,1.3824000000000003,0.0,0.3520000000000001,4.3264000000000005,7.4,7.3,E10+,4.0
Gears of War 2,X360,Shooter,Microsoft Game Studios,5.312000000000001,2.4320000000000004,0.07680000000000001,0.8192,8.64,9.3,7.7,M,8.0
Uncharted 3: Drake's Deception,PS3,Action,Sony Computer Entertainment,2.216,2.2,0.15200000000000002,0.8240000000000001,5.392,9.2,8.3,T,5.0
Call of Duty 4: Modern Warfare,PS3,Shooter,Activision,4.4784,3.2544,0.40320000000000006,1.4832,9.619200000000001,9.4,8.4,M,9.0
Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,3.6624000000000003,2.4640000000000004,0.23520000000000005,1.0976000000000001,7.459200000000001,9.6,8.8,T,7.0
Big Brain Academy,DS,Misc,Nintendo,2.9216,4.840000000000001,2.8160000000000007,1.0912000000000002,11.651200000000001,7.4,7.4,E,11.0
Red Dead Redemption,PS3,Action,Take-Two Interactive,2.678400000000001,2.4288000000000003,0.16320000000000004,0.9504000000000001,6.230400000000001,9.5,8.8,M,6.0
FIFA 14,PS3,Sports,Electronic Arts,0.3744000000000001,2.0352000000000006,0.03360000000000001,0.6576000000000002,3.1056000000000004,8.6,4.3,E,3.0
Assassin's Creed III,PS3,Action,Ubisoft,1.6896000000000002,1.6128,0.1024,0.7168000000000001,4.128,8.5,6.9,M,4.0
Donkey Kong Country Returns,Wii,Platform,Nintendo,3.0432000000000006,1.7184000000000004,0.9888000000000002,0.4416000000000001,6.182400000000002,8.7,8.6,E,6.0
Halo: Combat Evolved,XB,Shooter,Microsoft Game Studios,11.952000000000002,3.12,0.192,0.16800000000000004,15.432,9.7,8.6,M,15.0
The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks,2.04,2.08,0.2,0.8,5.128,9.2,6.4,M,5.0
Pokémon Emerald Version,GBA,Role-Playing,Nintendo,4.934400000000001,3.033600000000001,3.955200000000001,0.40320000000000006,12.307200000000002,7.6,9.0,E,12.0
Kingdom Hearts,PS2,Role-Playing,Sony Computer Entertainment,8.153600000000003,2.688,3.3376,0.15680000000000005,14.336000000000004,8.5,8.8,E,14.0
Halo 3: ODST,X360,Shooter,Microsoft Game Studios,4.8608,1.5008000000000001,0.06720000000000001,0.6832,7.1008000000000004,8.3,7.1,M,7.0
Red Dead Redemption,X360,Action,Take-Two Interactive,3.552000000000001,1.8720000000000003,0.0864,0.5568000000000001,6.067200000000002,9.5,9.0,M,6.0
Super Mario Sunshine,GC,Platform,Nintendo,8.982400000000002,2.8224000000000005,1.9488000000000003,0.3808000000000001,14.134400000000001,9.2,8.6,E,14.0
World of Warcraft,PC,Role-Playing,Activision,0.15360000000000001,11.923200000000001,0.0,0.0,12.076800000000002,9.3,7.3,T,12.0
Driver,PS,Action,GT Interactive,8.459200000000001,7.616,0.054400000000000004,0.8976000000000002,17.0544,8.7,8.1,T,17.0
Gears of War 3,X360,Shooter,Microsoft Game Studios,3.24,1.2720000000000002,0.05600000000000001,0.4,4.968,9.1,7.8,M,5.0
Kinect Sports,X360,Sports,Microsoft Game Studios,3.7632000000000008,1.6608000000000005,0.028800000000000006,0.4896000000000001,5.942400000000002,7.3,7.4,E10+,6.0
Gears of War,X360,Shooter,Microsoft Game Studios,5.664000000000001,3.008,0.11200000000000002,0.96,9.744,9.4,8.3,M,10.0
FIFA 15,PS4,Sports,Electronic Arts,0.25600000000000006,1.3856000000000002,0.016000000000000004,0.28800000000000003,1.9456000000000004,8.2,5.7,E,2.0
Metal Gear Solid 2: Sons of Liberty,PS2,Action,Konami Digital Entertainment,5.880000000000001,4.824,2.088,1.7279999999999998,14.52,9.6,8.7,M,15.0
Metal Gear Solid,PS,Action,Konami Digital Entertainment,9.158400000000002,5.2704,2.2464000000000004,0.6912,17.366400000000002,9.4,9.4,M,18.0
Metal Gear Solid 4: Guns of the Patriots,PS3,Action,Konami Digital Entertainment,3.3664000000000005,2.1888,1.0624,1.0496,7.667200000000001,9.4,8.7,M,8.0
Final Fantasy XII,PS2,Role-Playing,Square Enix,3.008,0.0,3.728,2.7840000000000003,9.520000000000001,9.2,7.6,T,10.0
The Last of Us,PS3,Action,Sony Computer Entertainment Europe,1.1568000000000003,1.0464000000000002,0.13440000000000005,0.47520000000000007,2.817600000000001,9.5,9.1,M,3.0
LittleBigPlanet,PS3,Platform,Sony Computer Entertainment,3.5839999999999996,2.5344,0.21760000000000002,1.1136000000000001,7.449600000000001,9.5,6.8,E,8.0
Resident Evil 2,PS,Action,Virgin Interactive,5.4144000000000005,4.2336,5.8176000000000005,1.2960000000000003,16.7616,8.9,9.2,M,18.0
Dragon Quest IX: Sentinels of the Starry Skies,DS,Role-Playing,Nintendo,0.7056000000000001,0.7504000000000001,4.872000000000001,0.168,6.473600000000001,8.7,8.8,E10+,7.0
Tekken 2,PS,Fighting,Sony Computer Entertainment,7.231999999999999,6.048,4.352,0.7360000000000001,18.368000000000002,8.9,8.9,T,20.0
Destiny,PS4,Shooter,Activision,0.7968000000000002,0.6624,0.0512,0.29440000000000005,1.8048,7.6,6.1,T,2.0
LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,5.1408,2.2320000000000007,0.0,0.7344,8.121599999999999,8.0,8.9,E10+,9.0
Cooking Mama,DS,Simulation,505 Games,4.912,3.056,0.11200000000000002,0.9119999999999999,9.008000000000001,6.7,7.2,E,10.0
Assassin's Creed II,PS3,Action,Ubisoft,2.8448,2.1616000000000004,0.23520000000000005,0.9632000000000002,6.216000000000001,9.1,8.6,M,7.0
Assassin's Creed,X360,Adventure,Ubisoft,4.7232,2.3616,0.10080000000000001,0.8064000000000001,7.977600000000001,8.1,7.7,M,9.0
Forza Motorsport 3,X360,Racing,Microsoft Game Studios,3.3488000000000007,2.128,0.11200000000000003,0.56,6.148800000000001,9.2,8.0,E,7.0
Super Mario Advance,GBA,Platform,Nintendo,7.536000000000001,2.976,2.184,0.4800000000000001,13.176000000000002,8.4,7.8,E,15.0
Monster Hunter Freedom Unite,PSP,Role-Playing,Capcom,0.6016,0.7040000000000002,5.2864,0.43520000000000003,7.014400000000001,8.1,8.7,T,8.0
Batman: Arkham City,PS3,Action,Warner Bros. Interactive Entertainment,2.168,1.4800000000000002,0.08800000000000001,0.6480000000000001,4.384,9.6,8.6,T,5.0
Grand Theft Auto V,XOne,Action,Take-Two Interactive,0.8992000000000001,0.7008000000000001,0.0,0.1504,1.7536000000000003,9.7,7.9,M,2.0
Mario Kart: Super Circuit,GBA,Racing,Nintendo,6.288,3.936,2.3760000000000003,0.552,13.128,9.3,8.3,E,15.0
Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive,4.968,5.496,0.5760000000000001,1.968,13.008000000000001,6.6,7.1,E,15.0
Call of Duty: World at War,PS3,Shooter,Activision,3.4944000000000006,2.3424000000000005,0.0,1.0624,6.8992,8.5,7.6,M,8.0
Uncharted 4: A Thief's End,PS4,Shooter,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0,9.3,7.9,T,0.0
Final Fantasy XIII,PS3,Role-Playing,Square Enix,1.9488000000000003,1.3552000000000002,2.0944000000000007,0.5712,5.969600000000001,8.3,7.3,T,7.0
Final Fantasy IX,PS,Role-Playing,SquareSoft,4.147200000000001,1.9712000000000005,7.1168,0.35840000000000005,13.568000000000001,9.4,8.9,T,16.0
Assassin's Creed III,X360,Action,Ubisoft,2.0032,1.0816000000000001,0.019200000000000002,0.2816,3.3856,8.4,6.7,M,4.0
Final Fantasy X-2,PS2,Role-Playing,Electronic Arts,3.9936000000000003,2.2464000000000004,4.3888,0.3536,11.003200000000001,8.5,6.6,T,13.0
Call of Duty: Advanced Warfare,XOne,Shooter,Activision,1.0304000000000002,0.4960000000000001,0.0032,0.15360000000000001,1.6864000000000001,8.1,5.4,M,2.0
Assassin's Creed II,X360,Action,Ubisoft,3.4832000000000005,1.7360000000000004,0.08960000000000001,0.5712,5.8912,9.0,8.8,M,7.0
New Super Mario Bros. U,WiiU,Platform,Nintendo,1.472,0.8576000000000001,0.8128000000000001,0.2048,3.3408,8.4,8.1,E,4.0
Dragon Quest VIII: Journey of the Cursed King,PS2,Role-Playing,Square Enix,1.2480000000000002,1.4400000000000004,6.9312000000000005,0.3840000000000001,10.003200000000001,8.9,8.8,T,12.0
Professor Layton and the Curious Village,DS,Puzzle,Nintendo,1.7424,3.4992000000000005,1.4832,0.7488000000000001,7.4736,8.5,8.6,E,9.0
FIFA Soccer 13,X360,Action,Electronic Arts,0.6976000000000001,2.2208,0.019200000000000002,0.3648,3.3024000000000004,9.0,6.1,E,4.0
Diablo III,PC,Role-Playing,Activision,1.5616,1.3824000000000003,0.0,0.3456000000000001,3.2896,8.8,4.0,M,4.0
Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts,4.1184,4.6384,0.27040000000000003,1.6640000000000004,10.6704,6.8,7.6,T,13.0
Guitar Hero II,PS2,Misc,RedOctane,6.096,1.008,0.0,1.088,8.192,9.2,8.5,T,10.0
Fable III,X360,Role-Playing,Microsoft Game Studios,3.4464000000000006,1.0368000000000002,0.048000000000000015,0.3648000000000001,4.896000000000001,8.0,6.5,M,6.0
Resident Evil 5,PS3,Action,Capcom,2.1952000000000003,1.5792,1.2096000000000002,0.7168000000000001,5.700800000000001,8.4,7.5,M,7.0
The Legend of Zelda: Phantom Hourglass,DS,Action,Nintendo,2.6640000000000006,2.5920000000000005,1.368,0.6912,7.3152,9.0,8.0,E,9.0
FIFA Soccer 11,PS3,Sports,Electronic Arts,0.5856000000000001,3.1488000000000005,0.05760000000000001,1.0752000000000004,4.8672,8.9,8.0,E,6.0
Resident Evil,PS,Action,Virgin Interactive,6.56,3.7119999999999997,3.5520000000000005,2.336,16.16,9.1,9.0,M,20.0
Grand Theft Auto: Vice City Stories,PSP,Action,Take-Two Interactive,2.72,3.184,0.256,1.888,8.048,8.6,8.0,M,10.0
Tony Hawk's Pro Skater,PS,Sports,Activision,9.302400000000002,3.7536,0.054400000000000004,0.5440000000000002,13.6544,9.2,9.2,T,17.0
Guitar Hero III: Legends of Rock,PS2,Misc,Activision,5.025600000000001,0.014400000000000001,0.014400000000000001,2.1311999999999998,7.171200000000001,8.2,8.2,T,9.0
Link's Crossbow Training,Wii,Shooter,Nintendo,4.392,1.6847999999999999,0.41759999999999997,0.6624000000000001,7.171200000000001,6.8,7.1,T,9.0
Fallout 3,X360,Role-Playing,Bethesda Softworks,4.352,1.2672,0.1152,0.5760000000000001,6.3104000000000005,9.3,8.5,M,8.0
Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,3.3264,2.4768000000000003,0.1728,1.1088000000000002,7.0848,8.8,8.1,T,9.0
Madden NFL 06,PS2,Sports,Electronic Arts,7.004800000000001,0.45760000000000006,0.0176,1.1616000000000002,8.641600000000002,8.8,8.0,E,11.0
StarCraft II: Wings of Liberty,PC,Strategy,Activision,2.4672000000000005,1.6128000000000002,0.0,0.5568000000000001,4.646400000000001,9.3,8.2,T,6.0
Assassin's Creed,PS3,Adventure,Ubisoft,2.7504,2.8800000000000003,0.1296,1.1808,6.9408,8.1,7.3,M,9.0
God of War III,PS3,Action,Sony Computer Entertainment,2.6304000000000007,1.2768000000000002,0.11520000000000002,0.5856000000000001,4.6080000000000005,9.2,8.7,M,6.0
Crash Team Racing,PS,Racing,Sony Computer Entertainment,6.990400000000001,4.270400000000001,1.1968000000000003,0.5712,13.028800000000002,8.8,9.0,E,17.0
LEGO Star Wars: The Complete Saga,DS,Action,LucasArts,4.075200000000001,2.1311999999999998,0.0,0.6480000000000001,6.8544,8.0,5.4,E,9.0
Driver 2,PS,Action,Atari,6.0416,5.376000000000001,0.0512,0.6400000000000001,12.108800000000002,6.2,7.7,T,16.0
Batman: Arkham City,X360,Action,Warner Bros. Interactive Entertainment,2.3920000000000003,1.016,0.032,0.336,3.7840000000000007,9.4,8.7,T,5.0
Tony Hawk's Pro Skater 2,PS,Sports,Activision,7.808,3.6096,0.0512,0.5120000000000001,11.9808,9.8,7.7,T,16.0
The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,4.3456,4.368,0.17920000000000003,1.568,10.4608,8.2,8.2,T,14.0
Tomb Raider,PS,Action,Eidos Interactive,7.328,6.304,0.41600000000000004,0.768,14.816,9.1,8.6,T,20.0
Animal Crossing: City Folk,Wii,Simulation,Nintendo,2.3296000000000006,1.4336000000000002,1.6896000000000002,0.4608,5.913600000000001,7.3,7.6,E,8.0
Uncharted: The Nathan Drake Collection,PS4,Action,Sony Computer Entertainment,0.3312,0.2736,0.0128,0.12160000000000003,0.7392000000000001,8.6,8.1,T,1.0
The Legend of Zelda: The Wind Waker,GC,Action,Nintendo,5.824000000000001,2.2176000000000005,1.9936000000000005,0.29120000000000007,10.304,9.6,8.9,E,14.0
Guitar Hero III: Legends of Rock,Wii,Misc,Activision,4.377600000000001,1.5984000000000003,0.0,0.6192000000000001,6.624,8.6,8.4,T,9.0
Luigi's Mansion: Dark Moon,3DS,Action,Nintendo,0.8640000000000002,0.6672,0.5328000000000002,0.13920000000000002,2.2032000000000003,8.6,8.4,E,3.0
Forza Motorsport 4,X360,Racing,Microsoft Game Studios,1.6640000000000001,1.576,0.048,0.36800000000000005,3.6560000000000006,9.1,8.2,E,5.0
Madden NFL 2005,PS2,Sports,Electronic Arts,8.0256,0.49920000000000014,0.019200000000000002,0.15360000000000001,8.697600000000003,9.1,7.9,E,12.0
Guitar Hero III: Legends of Rock,X360,Misc,Activision,4.5936,1.3104000000000002,0.014400000000000001,0.6048,6.523200000000001,8.5,7.9,T,9.0
Madden NFL 07,PS2,Sports,Electronic Arts,5.808,0.384,0.016,0.976,7.184000000000001,8.4,8.2,E,10.0
Halo 5: Guardians,XOne,Shooter,Microsoft Game Studios,0.4448,0.20320000000000002,0.0048000000000000004,0.0656,0.7168000000000001,8.4,6.4,T,1.0
Spider-Man: The Movie,PS2,Action,Activision,6.070400000000001,3.382400000000001,0.06720000000000001,0.5152000000000001,10.035200000000003,7.6,7.9,E,14.0
Call of Duty: Infinite Warfare,PS4,Shooter,Activision,0.0,0.0,0.0,0.0,0.0,7.7,3.4,M,0.0
God of War,PS2,Action,Sony Computer Entertainment,4.7696000000000005,2.2704000000000004,0.0352,0.7568000000000001,7.832000000000002,9.4,8.9,M,11.0
Splatoon,WiiU,Shooter,Nintendo,0.24640000000000006,0.1888,0.2336,0.041600000000000005,0.7088000000000001,8.1,8.5,E10+,1.0
Nintendo Land,WiiU,Misc,Nintendo,1.6128,0.7104000000000001,0.29440000000000005,0.21120000000000003,2.8288,7.7,7.9,E10+,4.0
Tony Hawk's Pro Skater 3,PS2,Sports,Activision,6.384,3.096,0.024,1.104,10.584000000000001,9.7,7.5,T,15.0
Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,Konami Digital Entertainment,0.16000000000000003,3.8240000000000003,1.6800000000000002,1.3760000000000001,7.024,8.6,8.9,E,10.0
The Elder Scrolls IV: Oblivion,X360,Role-Playing,Take-Two Interactive,4.512,1.6480000000000001,0.20800000000000002,0.6400000000000001,7.008,9.4,8.7,M,10.0
Need for Speed: Most Wanted,PS2,Racing,Electronic Arts,3.5728,3.1504000000000008,0.1408,0.8272,7.691200000000001,8.2,9.1,T,11.0
Michael Jackson: The Experience,Wii,Misc,Ubisoft,2.5344000000000007,1.2768000000000002,0.009600000000000001,0.3744000000000001,4.185600000000001,5.6,8.3,E10+,6.0
Resistance: Fall of Man,PS3,Shooter,Sony Computer Entertainment,2.7840000000000003,2.7520000000000002,0.22400000000000003,1.2000000000000002,6.944,8.6,8.1,M,10.0
