Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating,Years_on_Market
Final Fantasy VIII,PS,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,9.0,8.6,T,17.0
Pokémon Platinum Version,DS,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,8.3,8.5,E,8.0
Grand Theft Auto: Liberty City Stories,PSP,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,8.8,7.6,M,11.0
Call of Duty: Advanced Warfare,PS4,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,8.3,5.7,M,2.0
FIFA 17,PS4,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,8.5,5.0,E,0.0
Super Mario Galaxy 2,Wii,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,9.7,9.1,E,6.0
Call of Duty: World at War,X360,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,8.4,7.6,M,8.0
Battlefield 3,X360,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,8.4,7.4,M,5.0
Need for Speed Underground,PS2,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,8.5,8.6,E,13.0
Just Dance,Wii,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,4.9,8.0,E10+,7.0
Battlefield 3,PS3,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,8.5,7.5,M,5.0
Fallout 4,PS4,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,8.7,6.5,M,1.0
Tekken 3,PS,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,9.6,9.1,T,18.0
The Legend of Zelda: Twilight Princess,Wii,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,9.5,9.0,T,10.0
Crash Bandicoot 3: Warped,PS,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,9.1,8.9,E,18.0
Mario Kart 8,WiiU,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,8.8,9.1,E,2.0
Super Smash Bros. Melee,GC,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,9.2,9.1,T,15.0
Need for Speed Underground 2,PS2,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,8.2,8.6,E,12.0
Medal of Honor: Frontline,PS2,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,8.8,8.5,T,14.0
Just Dance 4,Wii,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,7.4,7.3,E10+,4.0
Gears of War 2,X360,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,9.3,7.7,M,8.0
Uncharted 3: Drake's Deception,PS3,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,9.2,8.3,T,5.0
Call of Duty 4: Modern Warfare,PS3,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,9.4,8.4,M,9.0
Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,9.6,8.8,T,7.0
Big Brain Academy,DS,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,7.4,7.4,E,11.0
Red Dead Redemption,PS3,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,9.5,8.8,M,6.0
FIFA 14,PS3,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,8.6,4.3,E,3.0
Assassin's Creed III,PS3,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,8.5,6.9,M,4.0
Donkey Kong Country Returns,Wii,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,8.7,8.6,E,6.0
Halo: Combat Evolved,XB,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,9.7,8.6,M,15.0
The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,9.2,6.4,M,5.0
Pokémon Emerald Version,GBA,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,7.6,9.0,E,12.0
Kingdom Hearts,PS2,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,8.5,8.8,E,14.0
Halo 3: ODST,X360,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,8.3,7.1,M,7.0
Red Dead Redemption,X360,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,9.5,9.0,M,6.0
Super Mario Sunshine,GC,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,9.2,8.6,E,14.0
World of Warcraft,PC,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29,9.3,7.3,T,12.0
Driver,PS,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,8.7,8.1,T,17.0
Gears of War 3,X360,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,9.1,7.8,M,5.0
Kinect Sports,X360,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,7.3,7.4,E10+,6.0
Gears of War,X360,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,9.4,8.3,M,10.0
FIFA 15,PS4,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,8.2,5.7,E,2.0
Metal Gear Solid 2: Sons of Liberty,PS2,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,9.6,8.7,M,15.0
Metal Gear Solid,PS,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,9.4,9.4,M,18.0
Metal Gear Solid 4: Guns of the Patriots,PS3,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,9.4,8.7,M,8.0
Final Fantasy XII,PS2,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,9.2,7.6,T,10.0
The Last of Us,PS3,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,9.5,9.1,M,3.0
LittleBigPlanet,PS3,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,9.5,6.8,E,8.0
Resident Evil 2,PS,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,8.9,9.2,M,18.0
Dragon Quest IX: Sentinels of the Starry Skies,DS,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,8.7,8.8,E10+,7.0
Tekken 2,PS,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,8.9,8.9,T,20.0
Destiny,PS4,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,7.6,6.1,T,2.0
LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,3.57,1.55,0.0,0.51,5.64,8.0,8.9,E10+,9.0
Cooking Mama,DS,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,6.7,7.2,E,10.0
Assassin's Creed II,PS3,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,9.1,8.6,M,7.0
Assassin's Creed,X360,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,8.1,7.7,M,9.0
Forza Motorsport 3,X360,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,9.2,8.0,E,7.0
Super Mario Advance,GBA,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,8.4,7.8,E,15.0
Monster Hunter Freedom Unite,PSP,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,8.1,8.7,T,8.0
Batman: Arkham City,PS3,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,9.6,8.6,T,5.0
Grand Theft Auto V,XOne,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,9.7,7.9,M,2.0
Mario Kart: Super Circuit,GBA,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,9.3,8.3,E,15.0
Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,6.6,7.1,E,15.0
Call of Duty: World at War,PS3,Shooter,Activision,2.73,1.83,0.0,0.83,5.39,8.5,7.6,M,8.0
Uncharted 4: A Thief's End,PS4,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,9.3,7.9,T,0.0
Final Fantasy XIII,PS3,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,8.3,7.3,T,7.0
Final Fantasy IX,PS,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,9.4,8.9,T,16.0
Assassin's Creed III,X360,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,8.4,6.7,M,4.0
Final Fantasy X-2,PS2,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,8.5,6.6,T,13.0
Call of Duty: Advanced Warfare,XOne,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,8.1,5.4,M,2.0
Assassin's Creed II,X360,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,9.0,8.8,M,7.0
New Super Mario Bros. U,WiiU,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,8.4,8.1,E,4.0
Dragon Quest VIII: Journey of the Cursed King,PS2,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,8.9,8.8,T,12.0
Professor Layton and the Curious Village,DS,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,8.5,8.6,E,9.0
FIFA Soccer 13,X360,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,9.0,6.1,E,4.0
Diablo III,PC,Role-Playing,Activision,2.44,2.16,0.0,0.54,5.14,8.8,4.0,M,4.0
Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,6.8,7.6,T,13.0
Guitar Hero II,PS2,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,9.2,8.5,T,10.0
Fable III,X360,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,8.0,6.5,M,6.0
Resident Evil 5,PS3,Action,Capcom,1.96,1.41,1.08,0.64,5.09,8.4,7.5,M,7.0
The Legend of Zelda: Phantom Hourglass,DS,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,9.0,8.0,E,9.0
FIFA Soccer 11,PS3,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,8.9,8.0,E,6.0
Resident Evil,PS,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,9.1,9.0,M,20.0
Grand Theft Auto: Vice City Stories,PSP,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,8.6,8.0,M,10.0
Tony Hawk's Pro Skater,PS,Sports,Activision,3.42,1.38,0.02,0.2,5.02,9.2,9.2,T,17.0
Guitar Hero III: Legends of Rock,PS2,Misc,Activision,3.49,0.01,0.01,1.48,4.98,8.2,8.2,T,9.0
Link's Crossbow Training,Wii,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,6.8,7.1,T,9.0
Fallout 3,X360,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,9.3,8.5,M,8.0
Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,8.8,8.1,T,9.0
Madden NFL 06,PS2,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,8.8,8.0,E,11.0
StarCraft II: Wings of Liberty,PC,Strategy,Activision,2.57,1.68,0.0,0.58,4.84,9.3,8.2,T,6.0
Assassin's Creed,PS3,Adventure,Ubisoft,1.91,2.0,0.09,0.82,4.82,8.1,7.3,M,9.0
God of War III,PS3,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,9.2,8.7,M,6.0
Crash Team Racing,PS,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,8.8,9.0,E,17.0
LEGO Star Wars: The Complete Saga,DS,Action,LucasArts,2.83,1.48,0.0,0.45,4.76,8.0,5.4,E,9.0
Driver 2,PS,Action,Atari,2.36,2.1,0.02,0.25,4.73,6.2,7.7,T,16.0
Batman: Arkham City,X360,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,9.4,8.7,T,5.0
Tony Hawk's Pro Skater 2,PS,Sports,Activision,3.05,1.41,0.02,0.2,4.68,9.8,7.7,T,16.0
The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,8.2,8.2,T,14.0
Tomb Raider,PS,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,9.1,8.6,T,20.0
Animal Crossing: City Folk,Wii,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62,7.3,7.6,E,8.0
Uncharted: The Nathan Drake Collection,PS4,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,8.6,8.1,T,1.0
The Legend of Zelda: The Wind Waker,GC,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,9.6,8.9,E,14.0
Guitar Hero III: Legends of Rock,Wii,Misc,Activision,3.04,1.11,0.0,0.43,4.6,8.6,8.4,T,9.0
Luigi's Mansion: Dark Moon,3DS,Action,Nintendo,1.8,1.39,1.11,0.29,4.59,8.6,8.4,E,3.0
Forza Motorsport 4,X360,Racing,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57,9.1,8.2,E,5.0
Madden NFL 2005,PS2,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,9.1,7.9,E,12.0
Guitar Hero III: Legends of Rock,X360,Misc,Activision,3.19,0.91,0.01,0.42,4.53,8.5,7.9,T,9.0
Madden NFL 07,PS2,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,8.4,8.2,E,10.0
Halo 5: Guardians,XOne,Shooter,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,8.4,6.4,T,1.0
Spider-Man: The Movie,PS2,Action,Activision,2.71,1.51,0.03,0.23,4.48,7.6,7.9,E,14.0
Call of Duty: Infinite Warfare,PS4,Shooter,Activision,1.61,2.0,0.15,0.71,4.46,7.7,3.4,M,0.0
God of War,PS2,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,9.4,8.9,M,11.0
Splatoon,WiiU,Shooter,Nintendo,1.54,1.18,1.46,0.26,4.43,8.1,8.5,E10+,1.0
Nintendo Land,WiiU,Misc,Nintendo,2.52,1.11,0.46,0.33,4.42,7.7,7.9,E10+,4.0
Tony Hawk's Pro Skater 3,PS2,Sports,Activision,2.66,1.29,0.01,0.46,4.41,9.7,7.5,T,15.0
Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39,8.6,8.9,E,10.0
The Elder Scrolls IV: Oblivion,X360,Role-Playing,Take-Two Interactive,2.82,1.03,0.13,0.4,4.38,9.4,8.7,M,10.0
Need for Speed: Most Wanted,PS2,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37,8.2,9.1,T,11.0
Michael Jackson: The Experience,Wii,Misc,Ubisoft,2.64,1.33,0.01,0.39,4.36,5.6,8.3,E10+,6.0
Resistance: Fall of Man,PS3,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,0.75,4.34,8.6,8.1,M,10.0
Kingdom Hearts II,PS2,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33,8.7,9.0,E10+,11.0
Super Mario 3D World,WiiU,Platform,Nintendo,2.11,1.16,0.73,0.32,4.32,9.3,9.0,E,3.0
Fable II,X360,Role-Playing,Microsoft Game Studios,2.51,1.24,0.11,0.41,4.27,8.9,6.5,M,8.0
Namco Museum,GBA,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24,7.9,7.3,E,15.0
Batman: Arkham Asylum,PS3,Action,Eidos Interactive,2.24,1.31,0.07,0.61,4.23,9.1,8.9,T,7.0
Metal Gear Solid 3: Snake Eater,PS2,Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23,9.1,9.3,M,12.0
Assassin's Creed: Revelations,PS3,Action,Ubisoft,1.41,2.01,0.1,0.7,4.22,8.0,7.5,M,5.0
Fallout 4,XOne,Role-Playing,Bethesda Softworks,2.51,1.32,0.01,0.38,4.22,8.8,6.2,M,1.0
FIFA 14,X360,Sports,Electronic Arts,0.92,2.89,0.01,0.4,4.22,8.4,4.2,E,3.0
Daxter,PSP,Platform,Sony Computer Entertainment,2.45,1.01,0.0,0.75,4.21,8.5,8.7,E10+,10.0
FIFA Soccer 06,PS2,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21,8.0,7.8,E,11.0
EyeToy Play,PS2,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2,8.0,7.5,E,13.0
Gran Turismo 5 Prologue,PS3,Racing,Sony Computer Entertainment,1.28,1.82,0.57,0.52,4.19,8.0,7.1,E,9.0
Assassin's Creed: Revelations,X360,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19,8.0,7.2,M,5.0
Street Fighter IV,PS3,Fighting,Capcom,2.03,1.04,0.58,0.52,4.16,9.4,7.3,T,7.0
Madden NFL 2003,PS2,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14,9.5,7.7,E,14.0
Half-Life,PC,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12,9.6,9.1,M,19.0
World of Warcraft: The Burning Crusade,PC,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09,9.1,7.9,T,9.0
Battlefield 1,PS4,Shooter,Electronic Arts,1.1,2.15,0.21,0.61,4.08,8.8,8.4,M,0.0
God of War II,PS2,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07,9.3,8.9,M,9.0
Fallout: New Vegas,X360,Role-Playing,Bethesda Softworks,2.66,1.03,0.04,0.33,4.05,8.4,8.1,M,6.0
Forza Motorsport 2,X360,Racing,Microsoft Game Studios,2.35,1.27,0.03,0.41,4.05,9.0,8.3,E,9.0
Carnival Games,Wii,Misc,Take-Two Interactive,2.12,1.47,0.05,0.42,4.05,5.6,6.0,E,9.0
Watch Dogs,PS4,Action,Ubisoft,1.4,1.9,0.11,0.64,4.05,8.0,6.3,M,2.0
Tekken Tag Tournament,PS2,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05,8.5,8.5,T,16.0
Far Cry 4,PS4,Shooter,Ubisoft,1.13,2.18,0.1,0.63,4.04,8.5,7.7,M,2.0
Left 4 Dead 2,X360,Shooter,Electronic Arts,2.67,0.87,0.05,0.38,3.97,8.9,8.6,M,7.0
The Witcher 3: Wild Hunt,PS4,Role-Playing,Namco Bandai Games,1.02,2.13,0.23,0.59,3.97,9.2,9.2,M,1.0
Assassin's Creed: Unity,PS4,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96,7.0,4.9,M,2.0
Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive Entertainment,1.53,1.69,0.1,0.64,3.95,8.7,7.6,M,1.0
The Legend of Zelda: Skyward Sword,Wii,Action,Nintendo,2.03,1.16,0.37,0.38,3.95,9.3,8.0,E10+,5.0
Fallout 3,PS3,Role-Playing,Bethesda Softworks,2.15,1.13,0.07,0.59,3.94,9.0,8.0,M,8.0
Professor Layton and the Diabolical Box,DS,Puzzle,Nintendo,0.9,1.76,0.92,0.37,3.94,8.4,8.8,E10+,9.0
EA Sports Active,Wii,Sports,Electronic Arts,2.09,1.35,0.06,0.4,3.9,8.1,8.7,E,7.0
Tony Hawk's Underground,PS2,Sports,Activision,2.29,1.17,0.01,0.42,3.9,9.0,8.7,T,13.0
Monster Hunter 4 Ultimate,3DS,Role-Playing,Nintendo,0.68,0.48,2.62,0.11,3.89,8.6,8.7,T,2.0
The Elder Scrolls V: Skyrim,PC,Role-Playing,Bethesda Softworks,1.16,2.12,0.0,0.6,3.88,9.4,8.1,M,5.0
NBA 2K16,PS4,Sports,Take-Two Interactive,2.49,0.66,0.03,0.69,3.88,8.7,6.7,E10+,1.0
Tekken 5,PS2,Fighting,Namco Bandai Games,0.93,1.94,0.31,0.7,3.87,8.8,8.6,T,11.0
MotorStorm,PS3,Racing,Sony Computer Entertainment,1.53,1.6,0.06,0.67,3.87,8.4,7.4,T,10.0
World Soccer Winning Eleven 8 International,PS2,Sports,Konami Digital Entertainment,0.16,1.89,1.12,0.68,3.85,9.1,9.1,E,12.0
Sports Champions,PS3,Sports,Sony Computer Entertainment,2.13,1.12,0.1,0.5,3.84,7.6,7.9,E10+,6.0
Call of Duty: Ghosts,PS4,Shooter,Activision,1.78,1.43,0.05,0.57,3.83,7.8,3.7,M,3.0
Flash Focus: Vision Training in Minutes a Day,DS,Misc,Nintendo,0.86,1.56,1.05,0.35,3.83,5.9,4.0,E,9.0
