Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,4.432,4.5840000000000005,0.392,1.2560000000000002,10.656,8.8,3.2,M
Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,5.5920000000000005,3.608,0.24,1.04,10.48,9.7,8.5,M
Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,5.296,2.04,2.128,0.808,10.272,9.3,8.9,T
Mario Kart 7,3DS,2011.0,Racing,Nintendo,4.024,3.2159999999999997,2.152,0.7280000000000001,10.128,8.5,8.2,E
Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,4.792000000000001,3.4960000000000004,0.384,1.4320000000000002,10.104000000000001,8.8,6.4,M
Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.168,5.048,0.30400000000000005,1.576,10.088000000000001,9.7,8.3,M
Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.0,2.7600000000000002,4.264,0.6880000000000001,9.704,8.6,8.7,E
Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,6.376,2.248,0.10400000000000001,0.968,9.696,9.4,7.8,M
Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,2.408,0.008,0.8800000000000001,6.024000000000001,9.328000000000001,8.9,8.5,E
Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,4.848,2.68,0.96,0.592,9.08,9.7,8.9,E
Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,5.408,2.456,0.11200000000000002,0.8240000000000001,8.808,9.8,7.9,M
Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,3.2159999999999997,3.096,2.032,0.41600000000000004,8.76,9.6,8.7,E
Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,3.912,2.4000000000000004,1.7120000000000002,0.6240000000000001,8.648000000000001,9.0,8.4,E
Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.368,3.8560000000000003,0.6480000000000001,1.688,8.56,8.4,7.5,E
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,3.9920000000000004,2.9120000000000004,0.30400000000000005,1.2800000000000002,8.48,9.4,6.3,M
Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,3.808,2.952,0.35200000000000004,1.2880000000000003,8.4,9.8,7.5,M
Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,5.384,2.048,0.032,0.7280000000000001,8.200000000000001,7.3,2.6,M
Just Dance 3,Wii,2011.0,Misc,Ubisoft,4.760000000000001,2.488,0.0,0.8480000000000001,8.096,7.4,7.8,E10+
New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,2.9280000000000004,2.5120000000000005,1.9760000000000002,0.504,7.920000000000001,7.8,7.2,E
Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,5.632000000000001,1.56,0.064,0.6320000000000001,7.888,9.1,7.9,M
Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,2.408,1.9760000000000002,2.624,0.768,7.776000000000001,9.2,9.2,T
Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,5.32,1.8239999999999998,0.032,0.592,7.768000000000001,8.7,7.0,M
Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,3.104,2.736,1.352,0.4,7.5920000000000005,9.3,9.0,T
Just Dance 2,Wii,2010.0,Misc,Ubisoft,4.64,2.2800000000000002,0.008,0.6240000000000001,7.552,7.4,7.3,E10+
Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,3.28,2.904,0.30400000000000005,1.0,7.4879999999999995,7.1,2.6,M
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,4.744,1.888,0.10400000000000001,0.7200000000000001,7.448,9.4,8.4,M
Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,1.6239999999999999,1.888,3.512,0.31200000000000006,7.328,8.8,8.7,E
Mario Party DS,DS,2007.0,Misc,Nintendo,3.5200000000000005,1.4800000000000002,1.584,0.544,7.128,7.2,7.8,E
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,4.04,2.232,0.08000000000000002,0.68,7.032,9.6,8.4,M
FIFA 16,PS4,2015.0,Sports,Electronic Arts,0.8960000000000001,4.896000000000001,0.048,1.024,6.856000000000001,8.2,4.3,E
Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,5.456,1.2240000000000002,0.04000000000000001,0.064,6.792000000000001,9.5,8.2,M
Wii Party,Wii,2010.0,Misc,Nintendo,1.4000000000000001,2.7760000000000002,1.9920000000000002,0.536,6.704000000000001,6.8,7.4,E
Mario Party 8,Wii,2007.0,Misc,Nintendo,2.9920000000000004,1.7920000000000003,1.2640000000000002,0.5599999999999999,6.616,6.2,6.3,E
FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,0.8480000000000001,4.008,0.10400000000000001,1.576,6.5280000000000005,8.8,6.6,E
Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.3280000000000003,1.656,2.184,0.264,6.440000000000001,9.2,8.7,T
The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.792,5.136,0.0,0.48,6.408,8.6,7.6,T
Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,1.8239999999999998,1.3760000000000001,2.904,0.18400000000000002,6.288,9.0,8.6,T
Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,2.2079999999999997,1.3760000000000001,2.152,0.43200000000000005,6.176,8.3,8.5,E
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.32,2.248,0.192,1.3840000000000001,6.152000000000001,8.8,7.6,M
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2.248,2.7840000000000003,0.11200000000000002,0.984,6.128,8.3,5.7,M
FIFA 17,PS4,2016.0,Sports,Electronic Arts,0.528,4.6000000000000005,0.064,0.8880000000000001,6.072,8.5,5.0,E
Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,2.8480000000000003,1.8800000000000001,0.784,0.496,6.008,9.7,9.1,E
Call of Duty: World at War,X360,2008.0,Shooter,Activision,3.848,1.504,0.0,0.5519999999999999,5.904,8.4,7.6,M
Battlefield 3,X360,2011.0,Shooter,Electronic Arts,3.568,1.688,0.048,0.5519999999999999,5.856000000000001,8.4,7.4,M
Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,2.616,2.2640000000000002,0.064,0.8160000000000001,5.760000000000001,8.5,8.6,E
Just Dance,Wii,2009.0,Misc,Ubisoft,2.7840000000000003,2.3920000000000003,0.0,0.584,5.760000000000001,4.9,8.0,E10+
Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.2800000000000002,2.3120000000000003,0.27999999999999997,0.8640000000000001,5.736000000000001,8.5,7.5,M
Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.024,2.616,0.192,0.9039999999999999,5.728000000000001,8.7,6.5,M
Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,2.616,1.7760000000000002,1.1199999999999999,0.23199999999999998,5.728000000000001,9.6,9.1,T
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,2.9920000000000004,1.7120000000000002,0.48,0.544,5.720000000000001,9.5,9.0,T
Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,2.9440000000000004,1.4000000000000001,1.136,0.22400000000000003,5.704000000000001,9.1,8.9,E
Mario Kart 8,WiiU,2014.0,Racing,Nintendo,2.52,1.72,1.024,0.40800000000000003,5.672000000000001,8.8,9.1,E
Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,3.5280000000000005,0.8320000000000001,1.1119999999999999,0.17600000000000002,5.656000000000001,9.2,9.1,T
Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2.168,2.4160000000000004,0.064,0.8720000000000001,5.5200000000000005,8.2,8.6,E
Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,2.3440000000000003,2.2,0.136,0.792,5.464,8.8,8.5,T
Just Dance 4,Wii,2012.0,Misc,Ubisoft,3.24,1.7280000000000002,0.0,0.44000000000000006,5.408,7.4,7.3,E10+
Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,3.3200000000000003,1.52,0.048,0.512,5.4,9.3,7.7,M
Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,2.216,2.2,0.15200000000000002,0.8240000000000001,5.392,9.2,8.3,T
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,2.488,1.8079999999999998,0.22400000000000003,0.8240000000000001,5.344,9.4,8.4,M
Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,2.616,1.7600000000000002,0.168,0.784,5.328,9.6,8.8,T
Big Brain Academy,DS,2005.0,Misc,Nintendo,1.328,2.2,1.2800000000000002,0.496,5.296,7.4,7.4,E
Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2.232,2.024,0.136,0.792,5.192,9.5,8.8,M
FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.6240000000000001,3.3920000000000003,0.05600000000000001,1.096,5.176,8.6,4.3,E
Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2.112,2.016,0.128,0.8960000000000001,5.16,8.5,6.9,M
Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,2.536,1.4320000000000002,0.8240000000000001,0.36800000000000005,5.152000000000001,8.7,8.6,E
Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,3.9840000000000004,1.04,0.064,0.05600000000000001,5.144,9.7,8.6,M
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.04,2.08,0.2,0.8,5.128,9.2,6.4,M
Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,2.056,1.2640000000000002,1.6480000000000001,0.168,5.128,7.6,9.0,E
Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,2.9120000000000004,0.96,1.192,0.05600000000000001,5.120000000000001,8.5,8.8,E
Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,3.472,1.072,0.048,0.488,5.072,8.3,7.1,M
Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,2.9600000000000004,1.56,0.072,0.46399999999999997,5.056000000000001,9.5,9.0,M
Super Mario Sunshine,GC,2002.0,Platform,Nintendo,3.208,1.008,0.6960000000000001,0.136,5.048,9.2,8.6,E
World of Warcraft,PC,2004.0,Role-Playing,Activision,0.064,4.968,0.0,0.0,5.032,9.3,7.3,T
Driver,PS,1999.0,Action,GT Interactive,2.488,2.2399999999999998,0.016,0.264,5.016,8.7,8.1,T
Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,3.24,1.2720000000000002,0.05600000000000001,0.4,4.968,9.1,7.8,M
Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,3.136,1.3840000000000001,0.024,0.40800000000000003,4.952000000000001,7.3,7.4,E10+
Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,2.8320000000000003,1.504,0.05600000000000001,0.48,4.872,9.4,8.3,M
FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.6400000000000001,3.4640000000000004,0.04000000000000001,0.7200000000000001,4.864000000000001,8.2,5.7,E
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,1.9600000000000002,1.6079999999999999,0.6960000000000001,0.576,4.84,9.6,8.7,M
Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,2.5440000000000005,1.4640000000000002,0.6240000000000001,0.192,4.824000000000001,9.4,9.4,M
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,2.104,1.368,0.664,0.656,4.792000000000001,9.4,8.7,M
Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,1.504,0.0,1.864,1.3920000000000001,4.760000000000001,9.2,7.6,T
The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,1.9280000000000002,1.7440000000000002,0.22400000000000003,0.792,4.696000000000001,9.5,9.1,M
LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,2.2399999999999998,1.584,0.136,0.6960000000000001,4.656000000000001,9.5,6.8,E
Resident Evil 2,PS,1998.0,Action,Virgin Interactive,1.504,1.176,1.616,0.36000000000000004,4.656000000000001,8.9,9.2,M
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,0.504,0.536,3.48,0.12,4.6240000000000006,8.7,8.8,E10+
Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,1.8079999999999998,1.512,1.088,0.18400000000000002,4.5920000000000005,8.9,8.9,T
Destiny,PS4,2014.0,Shooter,Activision,1.9920000000000002,1.656,0.128,0.7360000000000001,4.512,7.6,6.1,T
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,2.856,1.2400000000000002,0.0,0.40800000000000003,4.512,8.0,8.9,E10+
Cooking Mama,DS,2006.0,Simulation,505 Games,2.456,1.528,0.05600000000000001,0.45599999999999996,4.5040000000000004,6.7,7.2,E
Assassin's Creed II,PS3,2009.0,Action,Ubisoft,2.032,1.544,0.168,0.6880000000000001,4.44,9.1,8.6,M
Assassin's Creed,X360,2007.0,Adventure,Ubisoft,2.624,1.312,0.05600000000000001,0.44800000000000006,4.432,8.1,7.7,M
Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,2.3920000000000003,1.52,0.08000000000000002,0.4,4.392,9.2,8.0,E
Super Mario Advance,GBA,2001.0,Platform,Nintendo,2.5120000000000005,0.992,0.7280000000000001,0.16000000000000003,4.392,8.4,7.8,E
Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,0.376,0.44000000000000006,3.3040000000000003,0.272,4.384,8.1,8.7,T
Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.168,1.4800000000000002,0.08800000000000001,0.6480000000000001,4.384,9.6,8.6,T
Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive,2.248,1.752,0.0,0.376,4.384,9.7,7.9,M
Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,2.096,1.312,0.792,0.18400000000000002,4.376,9.3,8.3,E
Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,1.656,1.832,0.192,0.656,4.336,6.6,7.1,E
Call of Duty: World at War,PS3,2008.0,Shooter,Activision,2.184,1.4640000000000002,0.0,0.664,4.312,8.5,7.6,M
Uncharted 4: A Thief's End,PS4,2016.0,Shooter,Sony Computer Entertainment,1.4800000000000002,2.0,0.15200000000000002,0.68,4.304,9.3,7.9,T
Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,1.3920000000000001,0.968,1.4960000000000002,0.40800000000000003,4.264,8.3,7.3,T
Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,1.2960000000000003,0.6160000000000001,2.2239999999999998,0.11200000000000002,4.24,9.4,8.9,T
Assassin's Creed III,X360,2012.0,Action,Ubisoft,2.504,1.352,0.024,0.35200000000000004,4.232,8.4,6.7,M
Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,1.536,0.8640000000000001,1.688,0.136,4.232,8.5,6.6,T
Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,Activision,2.5760000000000005,1.2400000000000002,0.008,0.384,4.216,8.1,5.4,M
Assassin's Creed II,X360,2009.0,Action,Ubisoft,2.488,1.2400000000000002,0.064,0.40800000000000003,4.208,9.0,8.8,M
New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,1.8399999999999999,1.072,1.016,0.256,4.176,8.4,8.1,E
Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix,0.52,0.6000000000000001,2.888,0.16000000000000003,4.168,8.9,8.8,T
Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,0.968,1.9440000000000002,0.8240000000000001,0.41600000000000004,4.152,8.5,8.6,E
FIFA Soccer 13,X360,2012.0,Action,Electronic Arts,0.8720000000000001,2.7760000000000002,0.024,0.45599999999999996,4.128,9.0,6.1,E
Diablo III,PC,2012.0,Role-Playing,Activision,1.952,1.7280000000000002,0.0,0.43200000000000005,4.112,8.8,4.0,M
Medal of Honor: Rising Sun,PS2,2003.0,Shooter,Electronic Arts,1.584,1.784,0.10400000000000001,0.6400000000000001,4.104,6.8,7.6,T
Guitar Hero II,PS2,2006.0,Misc,RedOctane,3.048,0.504,0.0,0.544,4.096,9.2,8.5,T
Fable III,X360,2010.0,Role-Playing,Microsoft Game Studios,2.872,0.8640000000000001,0.04000000000000001,0.30400000000000005,4.08,8.0,6.5,M
Resident Evil 5,PS3,2009.0,Action,Capcom,1.568,1.128,0.8640000000000001,0.512,4.072,8.4,7.5,M
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,1.4800000000000002,1.4400000000000002,0.76,0.384,4.064,9.0,8.0,E
FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,0.488,2.624,0.048,0.8960000000000001,4.056,8.9,8.0,E
Resident Evil,PS,1996.0,Action,Virgin Interactive,1.64,0.9279999999999999,0.8880000000000001,0.584,4.04,9.1,9.0,M
Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,Take-Two Interactive,1.36,1.592,0.128,0.944,4.024,8.6,8.0,M
Tony Hawk's Pro Skater,PS,1999.0,Sports,Activision,2.736,1.1039999999999999,0.016,0.16000000000000003,4.016,9.2,9.2,T
Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,Activision,2.7920000000000003,0.008,0.008,1.184,3.9840000000000004,8.2,8.2,T
Link's Crossbow Training,Wii,2007.0,Shooter,Nintendo,2.44,0.9359999999999999,0.23199999999999998,0.36800000000000005,3.9840000000000004,6.8,7.1,T
Fallout 3,X360,2008.0,Role-Playing,Bethesda Softworks,2.72,0.792,0.072,0.36000000000000004,3.944,9.3,8.5,M
Uncharted: Drake's Fortune,PS3,2007.0,Action,Sony Computer Entertainment,1.848,1.3760000000000001,0.096,0.6160000000000001,3.936,8.8,8.1,T
Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,3.184,0.20800000000000002,0.008,0.528,3.9280000000000004,8.8,8.0,E
StarCraft II: Wings of Liberty,PC,2010.0,Strategy,Activision,2.056,1.344,0.0,0.46399999999999997,3.872,9.3,8.2,T
Assassin's Creed,PS3,2007.0,Adventure,Ubisoft,1.528,1.6,0.072,0.656,3.8560000000000003,8.1,7.3,M
God of War III,PS3,2010.0,Action,Sony Computer Entertainment,2.192,1.064,0.096,0.488,3.84,9.2,8.7,M
Crash Team Racing,PS,1999.0,Racing,Sony Computer Entertainment,2.056,1.2560000000000002,0.35200000000000004,0.168,3.8320000000000003,8.8,9.0,E
LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,2.2640000000000002,1.184,0.0,0.36000000000000004,3.808,8.0,5.4,E
Driver 2,PS,2000.0,Action,Atari,1.888,1.6800000000000002,0.016,0.2,3.7840000000000007,6.2,7.7,T
Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive Entertainment,2.3920000000000003,1.016,0.032,0.336,3.7840000000000007,9.4,8.7,T
Tony Hawk's Pro Skater 2,PS,2000.0,Sports,Activision,2.44,1.128,0.016,0.16000000000000003,3.7439999999999998,9.8,7.7,T
The Lord of the Rings: The Two Towers,PS2,2002.0,Action,Electronic Arts,1.552,1.56,0.064,0.5599999999999999,3.736,8.2,8.2,T
Tomb Raider,PS,1996.0,Action,Eidos Interactive,1.832,1.576,0.10400000000000001,0.192,3.704,9.1,8.6,T
Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo,1.4560000000000002,0.8960000000000001,1.056,0.288,3.696,7.3,7.6,E
Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,Sony Computer Entertainment,1.656,1.368,0.064,0.6080000000000001,3.696,8.6,8.1,T
The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,2.08,0.792,0.7120000000000001,0.10400000000000001,3.6799999999999997,9.6,8.9,E
Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,Activision,2.4320000000000004,0.8880000000000001,0.0,0.34400000000000003,3.6799999999999997,8.6,8.4,T
Luigi's Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,1.4400000000000002,1.1119999999999999,0.8880000000000001,0.23199999999999998,3.672,8.6,8.4,E
Forza Motorsport 4,X360,2011.0,Racing,Microsoft Game Studios,1.6640000000000001,1.576,0.048,0.36800000000000005,3.6560000000000006,9.1,8.2,E
Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts,3.344,0.20800000000000002,0.008,0.064,3.6240000000000006,9.1,7.9,E
Guitar Hero III: Legends of Rock,X360,2007.0,Misc,Activision,2.552,0.7280000000000001,0.008,0.336,3.6240000000000006,8.5,7.9,T
Madden NFL 07,PS2,2006.0,Sports,Electronic Arts,2.904,0.192,0.008,0.488,3.5920000000000005,8.4,8.2,E
Halo 5: Guardians,XOne,2015.0,Shooter,Microsoft Game Studios,2.2239999999999998,1.016,0.024,0.328,3.5840000000000005,8.4,6.4,T
Spider-Man: The Movie,PS2,2002.0,Action,Activision,2.168,1.2080000000000002,0.024,0.18400000000000002,3.5840000000000005,7.6,7.9,E
Call of Duty: Infinite Warfare,PS4,2016.0,Shooter,Activision,1.2880000000000003,1.6,0.12,0.568,3.568,7.7,3.4,M
God of War,PS2,2005.0,Action,Sony Computer Entertainment,2.168,1.032,0.016,0.34400000000000003,3.5600000000000005,9.4,8.9,M
Splatoon,WiiU,2015.0,Shooter,Nintendo,1.2320000000000002,0.944,1.168,0.20800000000000002,3.544,8.1,8.5,E10+
Nintendo Land,WiiU,2012.0,Misc,Nintendo,2.016,0.8880000000000001,0.36800000000000005,0.264,3.536,7.7,7.9,E10+
Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,Activision,2.128,1.032,0.008,0.36800000000000005,3.5280000000000005,9.7,7.5,T
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,Konami Digital Entertainment,0.08000000000000002,1.9120000000000001,0.8400000000000001,0.6880000000000001,3.512,8.6,8.9,E
The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,Take-Two Interactive,2.256,0.8240000000000001,0.10400000000000001,0.32000000000000006,3.504,9.4,8.7,M
Need for Speed: Most Wanted,PS2,2005.0,Racing,Electronic Arts,1.6239999999999999,1.4320000000000002,0.064,0.376,3.4960000000000004,8.2,9.1,T
Michael Jackson: The Experience,Wii,2010.0,Misc,Ubisoft,2.112,1.064,0.008,0.31200000000000006,3.4880000000000004,5.6,8.3,E10+
Resistance: Fall of Man,PS3,2006.0,Shooter,Sony Computer Entertainment,1.3920000000000001,1.3760000000000001,0.11200000000000002,0.6000000000000001,3.472,8.6,8.1,M
Kingdom Hearts II,PS2,2005.0,Role-Playing,Square Enix,1.7600000000000002,0.46399999999999997,1.1039999999999999,0.136,3.4640000000000004,8.7,9.0,E10+
Super Mario 3D World,WiiU,2013.0,Platform,Nintendo,1.688,0.9279999999999999,0.584,0.256,3.4560000000000004,9.3,9.0,E
Fable II,X360,2008.0,Role-Playing,Microsoft Game Studios,2.008,0.992,0.08800000000000001,0.328,3.416,8.9,6.5,M
Namco Museum,GBA,2001.0,Misc,Namco Bandai Games,2.4000000000000004,0.8880000000000001,0.04000000000000001,0.05600000000000001,3.3920000000000003,7.9,7.3,E
Batman: Arkham Asylum,PS3,2009.0,Action,Eidos Interactive,1.7920000000000003,1.048,0.05600000000000001,0.488,3.3840000000000003,9.1,8.9,T
Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,Konami Digital Entertainment,1.168,0.0,0.664,1.544,3.3840000000000003,9.1,9.3,M
Assassin's Creed: Revelations,PS3,2011.0,Action,Ubisoft,1.128,1.6079999999999999,0.08000000000000002,0.5599999999999999,3.376,8.0,7.5,M
Fallout 4,XOne,2015.0,Role-Playing,Bethesda Softworks,2.008,1.056,0.008,0.30400000000000005,3.376,8.8,6.2,M
FIFA 14,X360,2013.0,Sports,Electronic Arts,0.7360000000000001,2.3120000000000003,0.008,0.32000000000000006,3.376,8.4,4.2,E
Daxter,PSP,2006.0,Platform,Sony Computer Entertainment,1.9600000000000002,0.808,0.0,0.6000000000000001,3.3680000000000003,8.5,8.7,E10+
